symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-01-01 22:00:00,740.08,742.67,736.46,738.0,22098.37395,0.0,1
ethusdt,BINANCE,2021-01-01 23:00:00,738.01,740.0,733.5,735.39,25671.61199,0.0,1
ethusdt,BINANCE,2021-01-02 00:00:00,735.39,737.73,733.01,735.83,22249.34205,0.0,1
ethusdt,BINANCE,2021-01-02 01:00:00,735.76,736.45,726.57,727.94,40914.26505,0.0,1
ethusdt,BINANCE,2021-01-02 02:00:00,727.94,731.8,714.29,724.6,66427.75355,0.0,1
ethusdt,BINANCE,2021-01-02 03:00:00,724.57,728.28,720.95,725.34,26866.35862,0.0,1
ethusdt,BINANCE,2021-01-02 04:00:00,725.34,730.71,722.5,729.48,22422.29118,0.0,1
ethusdt,BINANCE,2021-01-02 05:00:00,729.48,730.61,726.69,728.23,14582.15316,0.0,1
ethusdt,BINANCE,2021-01-02 06:00:00,728.23,731.97,725.65,728.9,14614.20353,0.0,1
ethusdt,BINANCE,2021-01-02 07:00:00,728.97,730.58,727.65,728.91,14058.19051,0.0,1
ethusdt,BINANCE,2021-01-02 08:00:00,728.91,730.66,716.26,719.9,46190.17553,0.0,1
ethusdt,BINANCE,2021-01-02 09:00:00,719.9,731.75,714.91,729.38,37985.46001,0.0,1
ethusdt,BINANCE,2021-01-02 10:00:00,729.39,734.4,729.05,729.44,21870.2522,0.0,1
ethusdt,BINANCE,2021-01-02 11:00:00,729.45,731.96,728.4,730.39,13138.56186,0.0,1
ethusdt,BINANCE,2021-01-02 12:00:00,730.39,730.67,726.26,729.45,13117.64933,0.0,1
ethusdt,BINANCE,2021-01-02 13:00:00,729.45,733.4,729.22,731.99,19342.91315,0.0,1
ethusdt,BINANCE,2021-01-02 14:00:00,731.99,740.49,730.53,737.04,41590.31856,0.0,1
ethusdt,BINANCE,2021-01-02 15:00:00,737.08,738.66,733.07,735.12,23887.39609,0.0,1
ethusdt,BINANCE,2021-01-02 16:00:00,735.12,738.35,728.21,733.84,32631.45363,0.0,1
ethusdt,BINANCE,2021-01-02 17:00:00,733.84,734.64,723.06,725.41,38970.42653,0.0,1
ethusdt,BINANCE,2021-01-02 18:00:00,725.24,733.93,723.01,728.47,34642.76548,0.0,1
ethusdt,BINANCE,2021-01-02 19:00:00,728.55,731.1,727.17,729.7,14020.08545,0.0,1
ethusdt,BINANCE,2021-01-02 20:00:00,729.7,757.0,728.25,752.38,134011.4756,0.0,1
ethusdt,BINANCE,2021-01-02 21:00:00,752.39,772.8,749.11,770.77,154115.10137,0.0,1
ethusdt,BINANCE,2021-01-02 22:00:00,770.77,771.28,753.0,760.94,88376.02018,0.0,1
ethusdt,BINANCE,2021-01-02 23:00:00,760.99,768.99,760.86,768.43,51945.86127,0.0,1
ethusdt,BINANCE,2021-01-03 00:00:00,768.45,782.98,764.5,781.94,145618.23911,0.0,-1
ethusdt,BINANCE,2021-01-03 01:00:00,781.94,784.66,774.04,778.84,74461.65986,0.0,1
ethusdt,BINANCE,2021-01-03 02:00:00,778.77,784.39,772.0,780.01,57755.77853,0.0,-1
ethusdt,BINANCE,2021-01-03 03:00:00,780.0,787.69,776.77,784.79,56561.3149,0.0,-1
ethusdt,BINANCE,2021-01-03 04:00:00,784.79,785.48,750.12,756.55,122647.19925,0.0,1
ethusdt,BINANCE,2021-01-03 05:00:00,756.57,771.34,751.2,768.95,69835.76346,0.0,1
ethusdt,BINANCE,2021-01-03 06:00:00,768.94,774.5,765.06,772.19,21611.26997,0.0,1
ethusdt,BINANCE,2021-01-03 07:00:00,772.14,777.73,762.98,774.56,38291.43536,0.0,1
ethusdt,BINANCE,2021-01-03 08:00:00,774.44,778.86,770.59,775.81,34582.74165,0.0,1
ethusdt,BINANCE,2021-01-03 09:00:00,775.84,779.0,772.35,776.97,27914.48711,0.0,1
ethusdt,BINANCE,2021-01-03 10:00:00,776.98,781.59,775.48,778.94,23590.90685,0.0,1
ethusdt,BINANCE,2021-01-03 11:00:00,778.95,779.28,771.47,772.37,28221.24422,0.0,1
ethusdt,BINANCE,2021-01-03 12:00:00,772.44,778.44,768.71,777.41,34410.73823,0.0,1
ethusdt,BINANCE,2021-01-03 13:00:00,777.34,790.0,776.1,786.42,81521.94162,0.0,1
ethusdt,BINANCE,2021-01-03 14:00:00,786.48,801.92,783.73,799.96,89185.94716,0.0,1
ethusdt,BINANCE,2021-01-03 15:00:00,799.83,805.74,795.1,799.78,80293.36056,0.0,1
ethusdt,BINANCE,2021-01-03 16:00:00,799.74,819.5,791.5,817.76,92303.75687,0.0,1
ethusdt,BINANCE,2021-01-03 17:00:00,817.31,825.66,813.0,818.45,95011.06759,0.0,1
ethusdt,BINANCE,2021-01-03 18:00:00,818.5,829.0,816.49,825.72,82804.3962,0.0,1
ethusdt,BINANCE,2021-01-03 19:00:00,825.69,832.3,824.01,829.76,64169.17352,0.0,1
ethusdt,BINANCE,2021-01-03 20:00:00,829.77,835.86,826.38,831.47,55214.58488,0.0,1
ethusdt,BINANCE,2021-01-03 21:00:00,831.46,888.33,831.46,874.21,180985.66008,0.0,1
ethusdt,BINANCE,2021-01-03 22:00:00,874.17,921.73,862.3,912.38,261568.37752,0.0,1
ethusdt,BINANCE,2021-01-03 23:00:00,912.39,920.0,879.52,917.72,200326.60168,0.0,1
ethusdt,BINANCE,2021-01-04 00:00:00,917.95,978.0,917.72,935.26,323944.90322,0.0,1
ethusdt,BINANCE,2021-01-04 01:00:00,935.26,958.21,917.0,935.54,218672.998,0.0,1
ethusdt,BINANCE,2021-01-04 02:00:00,935.65,941.93,888.93,917.54,175928.67663,0.0,1
ethusdt,BINANCE,2021-01-04 03:00:00,917.77,924.11,899.38,921.53,86493.82126,0.0,1
ethusdt,BINANCE,2021-01-04 04:00:00,921.61,964.33,920.08,946.37,145884.75288,0.0,1
ethusdt,BINANCE,2021-01-04 05:00:00,946.38,957.87,936.45,949.77,59816.23454,0.0,1
ethusdt,BINANCE,2021-01-04 06:00:00,949.87,997.9,945.15,991.55,150727.1534,0.0,1
ethusdt,BINANCE,2021-01-04 07:00:00,991.73,1011.07,955.0,978.28,220030.36048,0.0,1
ethusdt,BINANCE,2021-01-04 08:00:00,978.33,994.56,954.22,975.8,147491.84724,0.0,1
ethusdt,BINANCE,2021-01-04 09:00:00,975.8,979.0,956.01,966.96,79273.06804,0.0,1
ethusdt,BINANCE,2021-01-04 10:00:00,966.96,982.33,962.2,979.39,72619.64295,0.0,1
ethusdt,BINANCE,2021-01-04 11:00:00,979.46,1025.81,977.84,1021.41,133239.30292,0.0,1
ethusdt,BINANCE,2021-01-04 12:00:00,1021.41,1035.93,1013.75,1027.69,124509.51799,0.0,1
ethusdt,BINANCE,2021-01-04 13:00:00,1027.7,1096.0,1016.75,1084.18,222620.92814,0.0,-1
ethusdt,BINANCE,2021-01-04 14:00:00,1084.45,1162.97,1078.59,1105.0,352657.89885,0.0,-1
ethusdt,BINANCE,2021-01-04 15:00:00,1104.99,1118.89,1012.0,1044.31,296761.70921,0.0,-1
ethusdt,BINANCE,2021-01-04 16:00:00,1044.3,1078.93,983.88,1022.64,266193.18381,0.0,-1
ethusdt,BINANCE,2021-01-04 17:00:00,1022.64,1029.34,909.0,970.08,384301.29029,0.0,1
ethusdt,BINANCE,2021-01-04 18:00:00,969.94,985.0,890.0,965.05,335379.28615,0.0,1
ethusdt,BINANCE,2021-01-04 19:00:00,965.28,979.54,933.84,976.8,190237.62721,0.0,1
ethusdt,BINANCE,2021-01-04 20:00:00,976.97,1031.85,956.12,1019.48,235476.92979,0.0,1
ethusdt,BINANCE,2021-01-04 21:00:00,1019.48,1020.0,975.27,1011.92,193603.2006,0.0,1
ethusdt,BINANCE,2021-01-04 22:00:00,1012.56,1045.0,1001.55,1043.25,197211.31353,0.0,-1
ethusdt,BINANCE,2021-01-04 23:00:00,1043.26,1058.16,1027.03,1040.01,189054.3704,0.0,-1
ethusdt,BINANCE,2021-01-05 00:00:00,1040.0,1048.0,982.05,1010.15,245057.38225,0.0,1
ethusdt,BINANCE,2021-01-05 01:00:00,1010.29,1026.56,985.55,999.47,120721.62389,0.0,1
ethusdt,BINANCE,2021-01-05 02:00:00,999.47,1025.68,998.92,1015.19,84703.58793,0.0,1
ethusdt,BINANCE,2021-01-05 03:00:00,1015.09,1048.0,1011.41,1042.28,90513.65187,0.0,-1
ethusdt,BINANCE,2021-01-05 04:00:00,1042.16,1049.7,1017.46,1019.69,75599.35887,0.0,1
ethusdt,BINANCE,2021-01-05 05:00:00,1019.69,1036.7,992.7,1006.19,92442.55568,0.0,1
ethusdt,BINANCE,2021-01-05 06:00:00,1006.18,1024.0,1003.2,1012.72,30171.61809,0.0,1
ethusdt,BINANCE,2021-01-05 07:00:00,1012.72,1046.54,1001.09,1041.43,85170.04434,0.0,1
ethusdt,BINANCE,2021-01-05 08:00:00,1041.45,1134.6,1041.45,1095.03,257412.82599,0.0,-1
ethusdt,BINANCE,2021-01-05 09:00:00,1095.14,1118.1,1061.92,1114.52,184692.42881,0.0,-1
ethusdt,BINANCE,2021-01-05 10:00:00,1114.46,1116.72,1068.18,1078.45,114597.83122,0.0,-1
ethusdt,BINANCE,2021-01-05 11:00:00,1078.47,1087.32,995.0,1001.76,197089.21992,0.0,1
ethusdt,BINANCE,2021-01-05 12:00:00,1001.75,1030.81,986.0,1004.1,176195.12461,0.0,1
ethusdt,BINANCE,2021-01-05 13:00:00,1004.05,1024.46,974.45,989.83,158302.30662,0.0,1
ethusdt,BINANCE,2021-01-05 14:00:00,989.9,1022.41,979.03,1015.15,129414.62655,0.0,1
ethusdt,BINANCE,2021-01-05 15:00:00,1015.16,1025.0,1000.93,1003.45,61159.42688,0.0,1
ethusdt,BINANCE,2021-01-05 16:00:00,1003.52,1044.71,1003.51,1026.97,105716.59566,0.0,1
ethusdt,BINANCE,2021-01-05 17:00:00,1026.97,1050.93,1022.43,1035.85,92325.74596,0.0,1
ethusdt,BINANCE,2021-01-05 18:00:00,1035.85,1042.4,1014.84,1028.31,67592.17946,0.0,1
ethusdt,BINANCE,2021-01-05 19:00:00,1028.31,1043.86,1024.07,1042.21,58899.65281,0.0,1
ethusdt,BINANCE,2021-01-05 20:00:00,1042.23,1055.0,1027.27,1028.99,71642.51507,0.0,1
ethusdt,BINANCE,2021-01-05 21:00:00,1028.98,1041.0,1020.46,1023.55,53808.51617,0.0,1
ethusdt,BINANCE,2021-01-05 22:00:00,1023.75,1048.23,1001.0,1047.9,115129.67335,0.0,1
ethusdt,BINANCE,2021-01-05 23:00:00,1047.94,1064.0,1036.0,1052.82,85508.32605,0.0,1
ethusdt,BINANCE,2021-01-06 00:00:00,1052.83,1084.0,1036.29,1065.84,118170.17042,0.0,1
ethusdt,BINANCE,2021-01-06 01:00:00,1065.85,1084.55,1060.7,1081.73,66686.13785,0.0,1
ethusdt,BINANCE,2021-01-06 02:00:00,1081.99,1094.86,1070.05,1074.0,102112.30063,0.0,1
ethusdt,BINANCE,2021-01-06 03:00:00,1074.0,1108.0,1040.0,1096.33,171567.07346,0.0,1
ethusdt,BINANCE,2021-01-06 04:00:00,1096.36,1103.84,1077.05,1098.99,71410.9486,0.0,1
ethusdt,BINANCE,2021-01-06 05:00:00,1099.0,1103.2,1074.44,1082.1,66771.99769,0.0,1
ethusdt,BINANCE,2021-01-06 06:00:00,1082.09,1120.0,1081.94,1108.02,74059.3687,0.0,-1
ethusdt,BINANCE,2021-01-06 07:00:00,1108.18,1115.0,1081.11,1099.56,106730.68277,0.0,1
ethusdt,BINANCE,2021-01-06 08:00:00,1100.16,1110.3,1063.23,1081.16,99324.20691,0.0,1
ethusdt,BINANCE,2021-01-06 09:00:00,1081.01,1086.22,1057.26,1071.82,65497.17409,0.0,1
ethusdt,BINANCE,2021-01-06 10:00:00,1071.81,1087.0,1071.81,1077.41,48874.82288,0.0,1
ethusdt,BINANCE,2021-01-06 11:00:00,1077.47,1083.0,1061.0,1075.49,58594.9887,0.0,1
ethusdt,BINANCE,2021-01-06 12:00:00,1075.49,1135.02,1073.03,1119.17,149574.38791,0.0,1
ethusdt,BINANCE,2021-01-06 13:00:00,1119.17,1125.85,1086.37,1101.81,101989.342,0.0,1
ethusdt,BINANCE,2021-01-06 14:00:00,1101.8,1118.69,1097.51,1113.22,69105.85653,0.0,1
ethusdt,BINANCE,2021-01-06 15:00:00,1113.16,1122.02,1090.72,1106.59,77052.69559,0.0,1
ethusdt,BINANCE,2021-01-06 16:00:00,1106.61,1123.51,1091.11,1110.76,105217.5019,0.0,1
ethusdt,BINANCE,2021-01-06 17:00:00,1110.85,1112.87,1091.0,1099.02,83293.56815,0.0,1
ethusdt,BINANCE,2021-01-06 18:00:00,1099.02,1119.5,1097.29,1114.75,66864.59812,0.0,1
ethusdt,BINANCE,2021-01-06 19:00:00,1114.71,1166.58,1111.01,1151.88,171627.18689,0.0,1
ethusdt,BINANCE,2021-01-06 20:00:00,1151.88,1158.96,1123.52,1143.61,99636.98531,0.0,1
ethusdt,BINANCE,2021-01-06 21:00:00,1143.84,1148.0,1121.0,1134.99,94633.75531,0.0,1
ethusdt,BINANCE,2021-01-06 22:00:00,1134.99,1147.61,1124.61,1133.36,91718.45654,0.0,1
ethusdt,BINANCE,2021-01-06 23:00:00,1133.23,1153.94,1130.92,1143.89,70224.15379,0.0,1
ethusdt,BINANCE,2021-01-07 00:00:00,1144.01,1193.68,1144.01,1173.08,184933.76503,0.0,1
ethusdt,BINANCE,2021-01-07 01:00:00,1173.09,1207.7,1171.0,1192.25,136008.83546,0.0,1
ethusdt,BINANCE,2021-01-07 02:00:00,1192.27,1208.57,1183.72,1191.78,85000.17164,0.0,1
ethusdt,BINANCE,2021-01-07 03:00:00,1191.77,1204.95,1150.0,1160.78,108617.44241,0.0,1
ethusdt,BINANCE,2021-01-07 04:00:00,1160.78,1207.0,1116.61,1197.16,208518.37051,0.0,1
ethusdt,BINANCE,2021-01-07 05:00:00,1197.33,1200.8,1173.23,1181.26,115873.49118,0.0,1
ethusdt,BINANCE,2021-01-07 06:00:00,1181.23,1194.51,1173.12,1177.97,30488.473,0.0,1
ethusdt,BINANCE,2021-01-07 07:00:00,1178.01,1213.0,1175.55,1208.42,67466.36349,0.0,1
ethusdt,BINANCE,2021-01-07 08:00:00,1208.75,1221.0,1188.0,1199.8,95554.67255,0.0,1
ethusdt,BINANCE,2021-01-07 09:00:00,1199.8,1210.82,1195.59,1200.12,53546.21224,0.0,1
ethusdt,BINANCE,2021-01-07 10:00:00,1200.21,1205.12,1179.91,1196.53,56117.02736,0.0,1
ethusdt,BINANCE,2021-01-07 11:00:00,1196.53,1224.11,1193.67,1213.17,71549.09166,0.0,1
ethusdt,BINANCE,2021-01-07 12:00:00,1213.17,1216.63,1201.32,1210.42,55797.31429,0.0,1
ethusdt,BINANCE,2021-01-07 13:00:00,1210.43,1218.04,1200.71,1207.27,53541.34273,0.0,1
ethusdt,BINANCE,2021-01-07 14:00:00,1207.3,1210.93,1183.02,1198.71,61270.82274,0.0,1
ethusdt,BINANCE,2021-01-07 15:00:00,1198.71,1204.86,1181.09,1186.21,52978.58936,0.0,1
ethusdt,BINANCE,2021-01-07 16:00:00,1186.39,1198.95,1159.03,1195.77,88581.26432,0.0,1
ethusdt,BINANCE,2021-01-07 17:00:00,1195.77,1205.0,1181.24,1204.96,48669.39591,0.0,1
ethusdt,BINANCE,2021-01-07 18:00:00,1204.96,1205.7,1179.79,1183.51,47906.19223,0.0,1
ethusdt,BINANCE,2021-01-07 19:00:00,1183.53,1205.0,1183.03,1201.12,54084.34786,0.0,1
ethusdt,BINANCE,2021-01-07 20:00:00,1201.32,1229.5,1197.64,1227.2,93318.3766,0.0,-1
ethusdt,BINANCE,2021-01-07 21:00:00,1226.86,1230.45,1209.0,1218.01,84541.63376,0.0,1
ethusdt,BINANCE,2021-01-07 22:00:00,1218.01,1229.29,1215.0,1224.5,61759.11098,0.0,-1
ethusdt,BINANCE,2021-01-07 23:00:00,1224.53,1249.98,1216.0,1249.83,81232.00344,0.0,-1
ethusdt,BINANCE,2021-01-08 00:00:00,1249.84,1277.41,1238.68,1263.97,150037.31158,0.0,-1
ethusdt,BINANCE,2021-01-08 01:00:00,1263.97,1273.91,1259.0,1270.49,64620.34683,0.0,-1
ethusdt,BINANCE,2021-01-08 02:00:00,1270.48,1289.0,1131.0,1222.73,256239.4916,0.0,-1
ethusdt,BINANCE,2021-01-08 03:00:00,1223.25,1247.68,1170.0,1234.14,176324.91055,0.0,-1
ethusdt,BINANCE,2021-01-08 04:00:00,1234.23,1245.0,1223.41,1242.72,65467.09339,0.0,-1
ethusdt,BINANCE,2021-01-08 05:00:00,1242.9,1267.33,1239.58,1254.18,71614.46576,0.0,-1
ethusdt,BINANCE,2021-01-08 06:00:00,1254.25,1259.0,1237.25,1245.47,30674.97767,0.0,-1
ethusdt,BINANCE,2021-01-08 07:00:00,1245.4,1245.72,1201.45,1224.87,97496.82518,0.0,-1
ethusdt,BINANCE,2021-01-08 08:00:00,1224.86,1233.0,1182.45,1182.96,72653.68292,0.0,-1
ethusdt,BINANCE,2021-01-08 09:00:00,1183.42,1199.26,1160.0,1184.52,95990.82587,0.0,-1
ethusdt,BINANCE,2021-01-08 10:00:00,1184.52,1186.29,1065.0,1111.34,199688.17322,0.0,1
ethusdt,BINANCE,2021-01-08 11:00:00,1111.57,1160.13,1105.61,1150.1,88803.50222,0.0,1
ethusdt,BINANCE,2021-01-08 12:00:00,1150.1,1177.65,1142.0,1169.03,78047.83239,0.0,1
ethusdt,BINANCE,2021-01-08 13:00:00,1168.91,1174.0,1142.23,1148.12,68772.26477,0.0,1
ethusdt,BINANCE,2021-01-08 14:00:00,1148.29,1182.46,1125.41,1175.21,91125.70394,0.0,1
ethusdt,BINANCE,2021-01-08 15:00:00,1175.22,1214.27,1166.38,1208.42,79414.38316,0.0,1
ethusdt,BINANCE,2021-01-08 16:00:00,1208.2,1209.27,1181.73,1199.99,56094.95252,0.0,1
ethusdt,BINANCE,2021-01-08 17:00:00,1199.99,1222.32,1185.99,1221.64,62345.38191,0.0,-1
ethusdt,BINANCE,2021-01-08 18:00:00,1221.51,1270.24,1216.23,1251.31,134971.11476,0.0,-1
ethusdt,BINANCE,2021-01-08 19:00:00,1251.47,1266.0,1240.0,1255.43,87416.71084,0.0,-1
ethusdt,BINANCE,2021-01-08 20:00:00,1255.24,1273.75,1224.88,1249.9,97812.93795,0.0,-1
ethusdt,BINANCE,2021-01-08 21:00:00,1249.91,1255.91,1221.62,1250.0,71962.98668,0.0,-1
ethusdt,BINANCE,2021-01-08 22:00:00,1250.0,1257.09,1237.32,1257.0,49706.7127,0.0,-1
ethusdt,BINANCE,2021-01-08 23:00:00,1256.93,1264.0,1171.72,1216.77,193110.42518,0.0,-1
ethusdt,BINANCE,2021-01-09 00:00:00,1216.93,1242.18,1202.0,1227.22,83942.45331,0.0,-1
ethusdt,BINANCE,2021-01-09 01:00:00,1227.22,1236.66,1209.24,1215.42,50501.14122,0.0,-1
ethusdt,BINANCE,2021-01-09 02:00:00,1215.59,1222.06,1173.0,1182.87,99711.00929,0.0,-1
ethusdt,BINANCE,2021-01-09 03:00:00,1182.55,1203.57,1179.63,1184.75,53462.02043,0.0,-1
ethusdt,BINANCE,2021-01-09 04:00:00,1184.75,1195.5,1143.16,1145.9,140396.82392,0.0,1
ethusdt,BINANCE,2021-01-09 05:00:00,1146.34,1193.89,1135.51,1193.63,80549.78913,0.0,1
ethusdt,BINANCE,2021-01-09 06:00:00,1193.63,1220.0,1166.31,1216.58,50087.2119,0.0,-1
ethusdt,BINANCE,2021-01-09 07:00:00,1216.85,1229.69,1208.38,1216.93,44604.88318,0.0,-1
ethusdt,BINANCE,2021-01-09 08:00:00,1216.72,1234.67,1183.04,1197.93,79854.51548,0.0,1
ethusdt,BINANCE,2021-01-09 09:00:00,1197.91,1198.39,1171.36,1198.27,64568.88615,0.0,1
ethusdt,BINANCE,2021-01-09 10:00:00,1198.26,1208.0,1177.38,1199.84,52664.98659,0.0,1
ethusdt,BINANCE,2021-01-09 11:00:00,1199.66,1231.31,1192.11,1226.53,58922.41495,0.0,-1
ethusdt,BINANCE,2021-01-09 12:00:00,1226.53,1227.49,1208.82,1219.16,39138.76117,0.0,-1
ethusdt,BINANCE,2021-01-09 13:00:00,1219.16,1219.16,1181.06,1185.53,53982.3727,0.0,1
ethusdt,BINANCE,2021-01-09 14:00:00,1185.4,1195.62,1176.6,1179.8,57458.22227,0.0,1
ethusdt,BINANCE,2021-01-09 15:00:00,1179.8,1199.99,1173.65,1196.49,44526.17017,0.0,1
ethusdt,BINANCE,2021-01-09 16:00:00,1196.5,1212.93,1184.64,1208.01,45254.59089,0.0,1
ethusdt,BINANCE,2021-01-09 17:00:00,1208.02,1221.7,1204.46,1211.55,53127.64645,0.0,1
ethusdt,BINANCE,2021-01-09 18:00:00,1211.93,1229.55,1204.26,1218.58,52410.83531,0.0,1
ethusdt,BINANCE,2021-01-09 19:00:00,1218.39,1237.0,1214.5,1220.64,65753.715,0.0,1
ethusdt,BINANCE,2021-01-09 20:00:00,1220.65,1227.69,1211.0,1223.99,37974.97153,0.0,1
ethusdt,BINANCE,2021-01-09 21:00:00,1223.78,1229.52,1218.24,1221.39,37916.13763,0.0,1
ethusdt,BINANCE,2021-01-09 22:00:00,1221.39,1235.5,1220.48,1223.17,54819.69482,0.0,1
ethusdt,BINANCE,2021-01-09 23:00:00,1223.17,1227.64,1207.29,1219.95,51480.96518,0.0,1
ethusdt,BINANCE,2021-01-10 00:00:00,1219.96,1225.52,1194.08,1200.88,71457.01928,0.0,1
ethusdt,BINANCE,2021-01-10 01:00:00,1200.89,1224.59,1200.31,1222.52,49327.02761,0.0,1
ethusdt,BINANCE,2021-01-10 02:00:00,1222.51,1230.25,1218.56,1224.69,37061.33739,0.0,1
ethusdt,BINANCE,2021-01-10 03:00:00,1224.69,1235.69,1220.48,1229.42,36022.81451,0.0,1
ethusdt,BINANCE,2021-01-10 04:00:00,1229.33,1272.0,1217.54,1271.14,116955.13239,0.0,1
ethusdt,BINANCE,2021-01-10 05:00:00,1271.14,1294.18,1261.5,1287.96,139273.22601,0.0,1
ethusdt,BINANCE,2021-01-10 06:00:00,1287.95,1304.37,1276.32,1286.61,84360.71587,0.0,1
ethusdt,BINANCE,2021-01-10 07:00:00,1286.65,1292.74,1266.85,1276.0,64558.95579,0.0,1
ethusdt,BINANCE,2021-01-10 08:00:00,1276.0,1292.69,1273.82,1289.91,64505.45896,0.0,1
ethusdt,BINANCE,2021-01-10 09:00:00,1289.85,1335.0,1285.22,1323.44,106780.43325,0.0,-1
ethusdt,BINANCE,2021-01-10 10:00:00,1323.5,1338.87,1309.93,1338.0,67904.63445,0.0,-1
ethusdt,BINANCE,2021-01-10 11:00:00,1337.99,1340.98,1304.51,1310.97,79134.72476,0.0,-1
ethusdt,BINANCE,2021-01-10 12:00:00,1310.91,1326.99,1306.2,1318.46,42415.54198,0.0,-1
ethusdt,BINANCE,2021-01-10 13:00:00,1318.69,1328.84,1305.74,1315.54,44663.27058,0.0,-1
ethusdt,BINANCE,2021-01-10 14:00:00,1315.54,1328.0,1313.48,1324.35,40389.42237,0.0,-1
ethusdt,BINANCE,2021-01-10 15:00:00,1324.43,1345.69,1322.14,1344.7,57564.63601,0.0,-1
ethusdt,BINANCE,2021-01-10 16:00:00,1344.77,1348.33,1318.21,1328.81,63901.05349,0.0,-1
ethusdt,BINANCE,2021-01-10 17:00:00,1329.13,1346.0,1328.02,1331.63,39541.66223,0.0,-1
ethusdt,BINANCE,2021-01-10 18:00:00,1331.65,1339.22,1283.32,1318.43,97177.24722,0.0,-1
ethusdt,BINANCE,2021-01-10 19:00:00,1318.57,1319.99,1257.6,1259.28,139435.26814,0.0,1
ethusdt,BINANCE,2021-01-10 20:00:00,1259.28,1296.39,1237.0,1290.33,111811.6157,0.0,-1
ethusdt,BINANCE,2021-01-10 21:00:00,1290.43,1323.71,1286.0,1309.66,78744.38345,0.0,-1
ethusdt,BINANCE,2021-01-10 22:00:00,1309.77,1314.52,1283.05,1295.68,61943.49704,0.0,-1
ethusdt,BINANCE,2021-01-10 23:00:00,1296.24,1313.74,1276.0,1303.18,55779.08399,0.0,-1
ethusdt,BINANCE,2021-01-11 00:00:00,1303.4,1325.0,1296.15,1297.39,67018.97312,0.0,-1
ethusdt,BINANCE,2021-01-11 01:00:00,1297.38,1305.0,1248.59,1300.65,155975.47097,0.0,-1
ethusdt,BINANCE,2021-01-11 02:00:00,1300.81,1310.35,1273.0,1283.68,86761.80934,0.0,-1
ethusdt,BINANCE,2021-01-11 03:00:00,1283.64,1295.91,1255.23,1263.17,53152.55459,0.0,-1
ethusdt,BINANCE,2021-01-11 04:00:00,1263.32,1273.0,1170.0,1258.34,241097.41327,0.0,-1
ethusdt,BINANCE,2021-01-11 05:00:00,1258.33,1274.89,1253.6,1270.6,96908.69545,0.0,-1
ethusdt,BINANCE,2021-01-11 06:00:00,1270.59,1287.51,1261.52,1273.08,47104.97155,0.0,-1
ethusdt,BINANCE,2021-01-11 07:00:00,1273.08,1277.38,1254.19,1254.25,51467.52812,0.0,-1
ethusdt,BINANCE,2021-01-11 08:00:00,1254.24,1260.0,1203.08,1218.8,102913.67599,0.0,-1
ethusdt,BINANCE,2021-01-11 09:00:00,1219.04,1230.73,1188.16,1208.03,81899.66431,0.0,-1
ethusdt,BINANCE,2021-01-11 10:00:00,1208.26,1212.8,1171.2,1186.11,115075.02375,0.0,-1
ethusdt,BINANCE,2021-01-11 11:00:00,1186.11,1198.11,1010.91,1104.14,331913.61069,0.0,-1
ethusdt,BINANCE,2021-01-11 12:00:00,1105.02,1133.87,1050.0,1114.1,208377.37407,0.0,-1
ethusdt,BINANCE,2021-01-11 13:00:00,1114.0,1129.47,1079.87,1094.18,123257.90891,0.0,-1
ethusdt,BINANCE,2021-01-11 14:00:00,1094.18,1095.57,1015.0,1027.73,216656.56533,0.0,1
ethusdt,BINANCE,2021-01-11 15:00:00,1027.93,1082.0,1011.1,1071.84,172077.18416,0.0,1
ethusdt,BINANCE,2021-01-11 16:00:00,1071.98,1126.0,1063.0,1108.69,135924.78642,0.0,-1
ethusdt,BINANCE,2021-01-11 17:00:00,1108.69,1135.35,1084.28,1135.07,97372.63394,0.0,-1
ethusdt,BINANCE,2021-01-11 18:00:00,1135.3,1149.99,1109.25,1112.08,121732.27289,0.0,-1
ethusdt,BINANCE,2021-01-11 19:00:00,1112.01,1117.42,1064.17,1067.87,148333.9181,0.0,-1
ethusdt,BINANCE,2021-01-11 20:00:00,1067.65,1103.12,1038.65,1073.66,173468.67682,0.0,-1
ethusdt,BINANCE,2021-01-11 21:00:00,1073.3,1079.0,1025.63,1026.09,182310.8552,0.0,-1
ethusdt,BINANCE,2021-01-11 22:00:00,1026.24,1043.22,950.0,1038.53,318635.66607,0.0,-1
ethusdt,BINANCE,2021-01-11 23:00:00,1038.53,1048.47,973.23,977.21,194594.79272,0.0,1
ethusdt,BINANCE,2021-01-12 00:00:00,977.21,990.69,915.0,963.55,310328.71762,0.0,1
ethusdt,BINANCE,2021-01-12 01:00:00,963.57,1023.5,918.43,998.3,272057.63421,0.0,1
ethusdt,BINANCE,2021-01-12 02:00:00,998.15,1024.0,982.75,993.51,135773.01524,0.0,1
ethusdt,BINANCE,2021-01-12 03:00:00,993.52,1007.26,945.0,984.41,165012.05389,0.0,1
ethusdt,BINANCE,2021-01-12 04:00:00,984.15,1022.0,958.0,1019.94,136389.16716,0.0,1
ethusdt,BINANCE,2021-01-12 05:00:00,1019.99,1044.99,1006.0,1031.55,135023.0882,0.0,1
